a,2 Aşamalı Doğrulama kullandığınız platformlar var mı ? ,2 Aşamalı Doğrulama için hangi methodu kullanıyorsunuz ? ,Tek seferlik parolanın nasıl çalıştığını biliyor musunuz ?,Bilgisayarınızın kamerasını kapalı mı kullanıyorsunuz ?,Hangi browserı kullanıyorsunuz ?
11/7/2019 11:04:50,Hayır,SMS,Evet,Hayır,Diğer
11/7/2019 11:11:59,Hayır,SMS,Hayır,Evet,Diğer
11/7/2019 11:13:14,Evet,SMS,Hayır,Evet,Opera
11/7/2019 11:29:21,Hayır,Kullanmıyorum,Evet,Evet,Google Chrome
11/7/2019 11:43:24,Evet,SMS,Evet,Evet,Opera
11/7/2019 11:51:41,Evet,Push Notification(Mobill app),Hayır,Hayır,Opera
11/7/2019 12:06:50,Hayır,SMS,Hayır,Hayır,Google Chrome
11/7/2019 12:08:14,Evet,SMS,Hayır,Hayır,Google Chrome
11/7/2019 12:24:00,Evet,SMS,Hayır,Hayır,Mozilla Firefox
11/7/2019 12:30:34,Hayır,Push Notification(Mobill app),Hayır,Hayır,Google Chrome
11/7/2019 12:37:36,Hayır,Kullanmıyorum,Hayır,Evet,Safari
11/7/2019 12:38:24,Evet,Zaman Bazlı Tek Seferlik Parola Üretici app (Google Authenticator vb.),Hayır,Evet,Google Chrome
11/7/2019 12:42:32,Hayır,SMS,Hayır,Evet,Google Chrome
11/7/2019 12:42:59,Evet,Zaman Bazlı Tek Seferlik Parola Üretici app (Google Authenticator vb.),Evet,Evet,Google Chrome
11/7/2019 12:52:21,Evet,Push Notification(Mobill app),Evet,Hayır,Google Chrome
11/7/2019 12:56:30,Evet,SMS,Hayır,Evet,Opera
11/7/2019 13:07:53,Evet,SMS,Hayır,Hayır,Google Chrome
11/7/2019 13:11:44,Evet,SMS,Evet,Evet,Google Chrome
11/7/2019 13:19:23,Evet,SMS,Hayır,Evet,Google Chrome
11/7/2019 13:27:07,Evet,SMS,Hayır,Hayır,Google Chrome
11/7/2019 13:35:03,Evet,Zaman Bazlı Tek Seferlik Parola Üretici app (Google Authenticator vb.),Hayır,Hayır,Google Chrome
11/7/2019 13:44:54,Evet,Zaman Bazlı Tek Seferlik Parola Üretici app (Google Authenticator vb.),Evet,Evet,Diğer
11/7/2019 13:51:25,Evet,SMS,Hayır,Hayır,Google Chrome
11/7/2019 13:58:38,Evet,SMS,Hayır,Evet,Safari
11/7/2019 14:06:48,Evet,SMS,Hayır,Evet,Opera
11/7/2019 14:29:12,Evet,SMS,Evet,Hayır,Google Chrome
11/7/2019 14:30:09,Evet,SMS,Hayır,Evet,Google Chrome
11/7/2019 14:33:54,Evet,SMS,Evet,Evet,Google Chrome
11/7/2019 14:38:21,Evet,Zaman Bazlı Tek Seferlik Parola Üretici app (Google Authenticator vb.),Hayır,Evet,Opera
11/7/2019 14:40:10,Evet,SMS,Hayır,Evet,Google Chrome
11/7/2019 14:44:28,Evet,Zaman Bazlı Tek Seferlik Parola Üretici app (Google Authenticator vb.),Evet,Hayır,Safari
11/7/2019 14:45:54,Evet,SMS,Hayır,Evet,Google Chrome
11/7/2019 14:46:46,Hayır,Kullanmıyorum,Hayır,Hayır,Google Chrome
11/7/2019 14:56:46,Evet,SMS,Hayır,Hayır,Google Chrome
11/7/2019 15:06:35,Evet,SMS,Hayır,Hayır,Safari
11/7/2019 15:11:53,Evet,SMS,Evet,Hayır,Google Chrome
11/7/2019 15:37:25,Evet,SMS,Hayır,Evet,Mozilla Firefox
11/7/2019 15:39:08,Evet,SMS,Hayır,Hayır,Google Chrome
11/7/2019 15:49:10,Evet,SMS,Evet,Hayır,Google Chrome
11/7/2019 15:52:55,Hayır,Kullanmıyorum,Hayır,Evet,Google Chrome
11/7/2019 15:54:04,Evet,SMS,Evet,Evet,Google Chrome
11/7/2019 15:54:39,Evet,SMS,Evet,Hayır,Google Chrome
11/7/2019 16:04:20,Evet,Zaman Bazlı Tek Seferlik Parola Üretici app (Google Authenticator vb.),Evet,Hayır,Google Chrome
11/7/2019 16:05:16,Evet,SMS,Evet,Hayır,Opera
11/7/2019 16:14:57,Evet,SMS,Evet,Evet,Google Chrome
11/7/2019 16:15:06,Evet,Push Notification(Mobill app),Evet,Hayır,Google Chrome
11/7/2019 16:22:52,Evet,SMS,Evet,Hayır,Google Chrome
11/7/2019 16:29:58,Evet,SMS,Hayır,Hayır,Mozilla Firefox
11/7/2019 16:38:00,Evet,SMS,Hayır,Evet,Google Chrome
11/7/2019 16:38:08,Evet,SMS,Evet,Hayır,Diğer
11/7/2019 16:56:52,Evet,SMS,Evet,Evet,Google Chrome
11/7/2019 17:15:55,Evet,SMS,Hayır,Evet,Mozilla Firefox
11/7/2019 17:16:53,Evet,SMS,Evet,Evet,Google Chrome
11/7/2019 17:20:01,Evet,SMS,Evet,Evet,Google Chrome
11/7/2019 17:21:47,Evet,SMS,Hayır,Evet,Google Chrome
11/7/2019 17:22:55,Evet,SMS,Evet,Hayır,Safari
